torch 2.14.0+cpu
!! mean(int8)                             eager raises RuntimeError                                          | aot_eager raises TorchRuntimeError                 | inductor raises TorchRuntimeError
!! native_dropout(p=1)                    eager ([[0.0, -0.0], [0.0, 0.0]] float32, [[False, False], [False, | aot_eager ([[0.0, -0.0], [0.0, 0.0]] float32, [[Fa | inductor ([[0.0, 0.0], [0.0, 0.0]] float32, [[False, False], [False, 
   native_dropout(p=0)                    eager ([[1.5, -2.25], [3.0, 4.0]] float32, [[True, True], [True, T | aot_eager ([[1.5, -2.25], [3.0, 4.0]] float32, [[T | inductor ([[1.5, -2.25], [3.0, 4.0]] float32, [[True, True], [True, T
   split(int8, 0)                         eager ([[1, -2]] int8, [[3, 4]] int8)                              | aot_eager ([[1, -2]] int8, [[3, 4]] int8)          | inductor ([[1, -2]] int8, [[3, 4]] int8)
   unbind(bool)                           eager ([True, False] bool, [True, True] bool)                      | aot_eager ([True, False] bool, [True, True] bool)  | inductor ([True, False] bool, [True, True] bool)
   squeeze(dims=(0,1)) on (1,1)           eager 1 int8                                                       | aot_eager 1 int8                                   | inductor 1 int8
   expand(uint8)                          eager [[1, 1, 1], [3, 3, 3]] uint8                                 | aot_eager [[1, 1, 1], [3, 3, 3]] uint8             | inductor [[1, 1, 1], [3, 3, 3]] uint8
   addmm(int8)                            eager [[-4, -12], [18, 14]] int8                                   | aot_eager [[-4, -12], [18, 14]] int8               | inductor [[-4, -12], [18, 14]] int8
   addmm(uint8, beta=0)                   eager [[89, 232], [15, 104]] uint8                                 | aot_eager [[89, 232], [15, 104]] uint8             | inductor [[89, 232], [15, 104]] uint8
   addmm(f, beta=0, nan)                  eager [[-4.5, -12.375], [16.5, 9.25]] float32                      | aot_eager [[-4.5, -12.375], [16.5, 9.25]] float32  | inductor [[-4.5, -12.375], [16.5, 9.25]] float32
   baddbmm(int8)                          eager [[[-4, -12], [18, 14]]] int8                                 | aot_eager [[[-4, -12], [18, 14]]] int8             | inductor [[[-4, -12], [18, 14]]] int8
   baddbmm(f, beta=0 nan)                 eager [[[-4.5, -12.375], [16.5, 9.25]]] float32                    | aot_eager [[[-4.5, -12.375], [16.5, 9.25]]] float3 | inductor [[[-4.5, -12.375], [16.5, 9.25]]] float32
!! addmm(bool)                            eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor raises BackendCompilerFailed
   adaptive_avg_pool2d(int8)              eager [[[1.5]]] float32                                            | aot_eager [[[1.5]]] float32                        | inductor [[[1.5]]] float32
   adaptive_max_pool2d(1,1)               eager ([[[4.0]]] float32, [[[3]]] int64)                           | aot_eager ([[[4.0]]] float32, [[[3]]] int64)       | inductor ([[[4.0]]] float32, [[[3]]] int64)
!! adaptive_max_pool2d(1,1) int8          eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor ([[[4]]] int8, [[[3]]] int64)
