torch 2.14.0+cpu: 604 pairs in shard 0/2, 604 to do
[542/604] ok             special.i1e bool (1s, total 358s)
[543/604] ok             special.ndtr int64 (2s, total 360s)
[544/604] ok             special.polygamma float32 (0s, total 360s)
[545/604] ok             special.polygamma bool (0s, total 360s)
[546/604] ok             special.xlog1py int64 (2s, total 362s)
[547/604] ok             special.entr float32 (2s, total 364s)
[548/604] ok             special.entr bool (1s, total 365s)
[549/604] ok             special.ndtri int64 (2s, total 367s)
[550/604] ok             special.log_ndtr float32 (2s, total 369s)
[551/604] ok             special.log_ndtr bool (2s, total 371s)
[552/604] ok             special.erfcx int64 (2s, total 373s)
[553/604] ok             special.airy_ai float32 (2s, total 375s)
[554/604] ok             special.airy_ai bool (2s, total 377s)
[555/604] ok             special.bessel_j0 int64 (2s, total 379s)
[556/604] ok             special.bessel_j1 float32 (2s, total 381s)
[557/604] ok             special.bessel_j1 bool (2s, total 383s)
[558/604] ok             special.bessel_y0 int64 (2s, total 385s)
[559/604] ok             special.bessel_y1 float32 (2s, total 387s)
[560/604] ok             special.bessel_y1 bool (2s, total 389s)
[561/604] ok             special.chebyshev_polynomial_t int64 (2s, total 391s)
[562/604] ok             special.chebyshev_polynomial_u float32 (2s, total 393s)
[563/604] ok             special.chebyshev_polynomial_u bool (2s, total 395s)
[564/604] ok             special.chebyshev_polynomial_v int64 (2s, total 397s)
[565/604] ok             special.chebyshev_polynomial_w float32 (2s, total 399s)
[566/604] ok             special.chebyshev_polynomial_w bool (1s, total 400s)
[567/604] ok             special.hermite_polynomial_h int64 (1s, total 401s)
[568/604] ok             special.hermite_polynomial_he float32 (1s, total 403s)
[569/604] ok             special.hermite_polynomial_he bool (1s, total 404s)
[570/604] ok             special.laguerre_polynomial_l int64 (2s, total 406s)
[571/604] ok             special.legendre_polynomial_p float32 (2s, total 408s)
[572/604] ok             special.legendre_polynomial_p bool (2s, total 410s)
[573/604] ok             special.modified_bessel_i0 int64 (2s, total 412s)
[574/604] ok             special.modified_bessel_i1 float32 (2s, total 414s)
[575/604] ok             special.modified_bessel_i1 bool (2s, total 416s)
[576/604] ok             special.modified_bessel_k0 int64 (2s, total 418s)
[577/604] ok             special.modified_bessel_k1 float32 (2s, total 420s)
[578/604] ok             special.modified_bessel_k1 bool (2s, total 421s)
[579/604] ok             special.scaled_modified_bessel_k0 int64 (2s, total 424s)
[580/604] ok             special.scaled_modified_bessel_k1 float32 (2s, total 425s)
[581/604] ok             special.scaled_modified_bessel_k1 bool (2s, total 427s)
[582/604] ok             special.shifted_chebyshev_polynomial_t int64 (2s, total 430s)
[583/604] ok             special.shifted_chebyshev_polynomial_u float32 (2s, total 431s)
[584/604] ok             special.shifted_chebyshev_polynomial_u bool (2s, total 433s)
[585/604] ok             special.shifted_chebyshev_polynomial_v int64 (2s, total 435s)
[586/604] ok             special.shifted_chebyshev_polynomial_w float32 (2s, total 437s)
[587/604] ok             special.shifted_chebyshev_polynomial_w bool (2s, total 439s)
[588/604] ok             special.spherical_bessel_j0 int64 (2s, total 442s)
[589/604] ok             masked.sum float32 (2s, total 444s)
[590/604] ok             masked.sum bool (2s, total 445s)
[591/604] ok             masked.prod int64 (2s, total 448s)
[592/604] ok             masked.cumsum float32 (0s, total 448s)
[593/604] ok             masked.cumprod float32 (0s, total 448s)
[594/604] ok             masked.amax float32 (2s, total 450s)
[595/604] ok             masked.amin float32 (2s, total 452s)
[596/604] ok             masked.argmax float32 (2s, total 454s)
[597/604] ok             masked.argmin float32 (2s, total 456s)
[598/604] ok             masked.mean float32 (2s, total 458s)
[599/604] ok             masked.var float32 (2s, total 461s)
[600/604] ok             masked.std float32 (3s, total 463s)
[601/604] ok             masked.softmax float32 (0s, total 463s)
[602/604] ok             masked.softmin float32 (0s, total 463s)
[603/604] ok             masked.logsumexp float32 (3s, total 466s)
[604/604] ok             bmm float32 (2s, total 468s)
SWEEP DONE
